Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_ZEN_VIRUS_BRAIN,"Infected Brain","Infected Brain","Infikovaný mozek. ","Infiziertes Gehirn. ","Зараженный мозг. ","Zainfekowany mózg. ","Fertőzött agy. ","Cervello infetto. ","cerebro infectado. ","Cerveau infecté. ","受感染的大腦. ","感染した脳. ","Cérebro Infectado. ","受感染的大脑. "
STR_ZEN_VIRUS_BRAIN_DESC,"The brain from an infected human. Perhaps I can use this with some medical equipment to engineer a cure in case I catch the virus...","The brain from an infected human. Perhaps I can use this with some medical equipment to engineer a cure in case I catch the virus...","Mozek infikovaného člověka. Možná bych to mohl použít s nějakým lékařským vybavením k vytvoření léku v případě, že chytím virus. ","Das Gehirn eines infizierten Menschen. Vielleicht kann ich das mit einigen medizinischen Geräten verwenden, um ein Heilmittel zu entwickeln, falls ich mich mit dem Virus infiziere. ","Мозг инфицированного человека. Возможно, я смогу использовать это с каким-нибудь медицинским оборудованием, чтобы разработать лекарство на случай, если я заразлюсь вирусом.. ","Mózg zarażonego człowieka. Być może będę mógł użyć tego z jakimś sprzętem medycznym do opracowania lekarstwa na wypadek złapania wirusa. ","Egy fertőzött ember agya. Talán használhatom ezt néhány orvosi berendezéssel, hogy megtervezzem a gyógymódot arra az esetre, ha elkapnám a vírust. ","Il cervello di un essere umano infetto. Forse posso usarlo con alcune apparecchiature mediche per progettare una cura nel caso in cui prendessi il virus. ","El cerebro de un humano infectado.. Tal vez pueda usar esto con algún equipo médico para diseñar una cura en caso de que contraiga el virus.. ","Le cerveau d'un humain infecté. Peut-être que je peux l'utiliser avec du matériel médical pour concevoir un remède au cas où j'attraperais le virus. ","受感染人類的大腦. 也許我可以用一些醫療設備來設計治療方法，以防我感染病毒. ","感染した人間の脳. おそらく、ウイルスに感染した場合に備えて、これをいくつかの医療機器で使用して治療法を設計することができます. ","O cérebro de um humano infectado. Talvez eu possa usar isso com algum equipamento médico para projetar uma cura no caso de eu pegar o vírus. ","受感染人类的\u200b\u200b大脑. 也许我可以用一些医疗设备来设计治疗方法，以防我感染病毒. "
STR_ZEN_VIRUS_PATHOGENVIAL,"Pathogen Vial","Pathogen Vial","Lahvička s patogenem. ","Erregerfläschchen. ","Флакон патогена. ","Fiolka z patogenem. ","Patogén fiola. ","Flaconcino di agenti patogeni. ","Vial de patógeno. ","Flacon d'agent pathogène. ","病原體瓶. ","病原体バイアル. ","Frasco de patógeno. ","病原体瓶. "
STR_ZEN_VIRUS_PATHOGENVIAL_DESC,"A vial containing isolated infection pathogens. Perhaps I can use this to help me weaponize the virus, all I need is an empty syringe...","A vial containing isolated infection pathogens. Perhaps I can use this to help me weaponize the virus, all I need is an empty syringe...","Lahvička obsahující izolované infekční patogeny. Možná bych to mohl použít, aby mi pomohl vyzbrojit virus, vše, co potřebuji, je prázdná injekční stříkačka. ","Ein Fläschchen mit isolierten Infektionserregern. Vielleicht kann ich damit helfen, den Virus zu einer Waffe zu machen, alles, was ich brauche, ist eine leere Spritze. ","Флакон, содержащий изолированные возбудители инфекции. Возможно, я смогу использовать это, чтобы помочь мне превратить вирус в оружие, все, что мне нужно, это пустой шприц.. ","Fiolka zawierająca izolowane patogeny infekcji. Być może będę mógł to wykorzystać, aby pomóc mi zbroić wirusa, wszystko, czego potrzebuję, to pusta strzykawka. ","Izolált fertőzési kórokozókat tartalmazó injekciós üveg. Talán használhatom ezt a vírus felfegyverzésére, csak egy üres fecskendőre van szükségem. ","Una fiala contenente agenti patogeni dell'infezione isolati. Forse posso usarlo per aiutarmi ad armare il virus, tutto ciò di cui ho bisogno è una siringa vuota. ","Un vial que contiene patógenos de infección aislados. Tal vez pueda usar esto para ayudarme a armar el virus, todo lo que necesito es una jeringa vacía. ","Un flacon contenant des agents pathogènes infectieux isolés. Peut-être que je peux l'utiliser pour m'aider à militariser le virus, tout ce dont j'ai besoin est une seringue vide. ","一個裝有分離感染病原體的小瓶. 也許我可以用它來幫助我將病毒武器化，我只需要一個空注射器. ","分離された感染病原体を含むバイアル. おそらく、これを使ってウイルスを兵器化するのに役立てることができます。必要なのは空の注射器だけです。. ","Um frasco contendo patógenos de infecção isolados. Talvez eu possa usar isso para me ajudar a armar o vírus, tudo que eu preciso é de uma seringa vazia. ","一个装有分离感染病原体的小瓶. 也许我可以用它来帮助我将病毒武器化，我只需要一个空注射器. "
STR_ZEN_VIRUS_ANTIBODIESVIAL,"Antibodies Vial","Antibodies Vial","Lahvička s protilátkami. ","Antikörper-Fläschchen. ","флакон с антителами. ","Fiolka z przeciwciałami. ","Antitestek fiola. ","Flaconcino di anticorpi. ","Vial de anticuerpos. ","Flacon d'anticorps. ","抗體小瓶. ","抗体バイアル. ","Frasco de anticorpos. ","抗体小瓶. "
STR_ZEN_VIRUS_CURE_PETRIDISH,"Petridish","Petridish","Petriho miska. ","Petrischale. ","чашка Петри. ","szalka Petriego. ","Petri csésze. ","piastra di Petri. ","placa de Petri. ","pain béni. ","培養皿. ","ペトリ皿. ","placa de Petri. ","培养皿. "
STR_ZEN_VIRUS_CURE_PETRIDISH_DESC,"A petri dish used for medical research. Perhaps I can use this to help me engineer a cure for the virus...","A petri dish used for medical research. Perhaps I can use this to help me engineer a cure for the virus...","Petriho miska používaná pro lékařský výzkum. Možná bych to mohl použít, aby mi pomohl vytvořit lék na virus. ","Eine Petrischale für die medizinische Forschung. Vielleicht kann ich das nutzen, um mir zu helfen, ein Heilmittel für den Virus zu entwickeln. ","Чашка Петри, используемая для медицинских исследований. Возможно, я смогу использовать это, чтобы помочь мне разработать лекарство от вируса.. ","Szalka Petriego używana do badań medycznych. Być może będę mógł to wykorzystać, aby pomóc mi opracować lekarstwo na wirusa. ","Orvosi kutatásokhoz használt Petri-csésze. Talán felhasználhatom ezt a vírus gyógymódjának kidolgozásában. ","Una capsula di Petri utilizzata per la ricerca medica. Forse posso usarlo per aiutarmi a progettare una cura per il virus. ","Una placa de Petri utilizada para la investigación médica.. Tal vez pueda usar esto para ayudarme a diseñar una cura para el virus.. ","Une boîte de Pétri utilisée pour la recherche médicale. Peut-être que je peux l'utiliser pour m'aider à concevoir un remède contre le virus. ","用於醫學研究的培養皿. 也許我可以用它來幫助我設計出治愈病毒的方法. ","医学研究に使用されるペトリ皿. おそらく、これを使用してウイルスの治療法を設計するのに役立てることができます. ","Uma placa de Petri usada para pesquisa médica. Talvez eu possa usar isso para me ajudar a projetar uma cura para o vírus. ","用于医学研究的培养皿. 也许我可以用它来帮助我设计出治愈病毒的方法. "
STR_ZEN_VIRUS_CURE_INJECTOR,"Virus Cure","Virus Cure","Virus Cure. ","Virus-Heilung. ","Лечение вирусов. ","Leczenie wirusów. ","Vírusgyógyítás. ","cura del virus. ","cura de virus. ","Remède contre les virus. ","病毒治療. ","ウイルス治療. ","Cura de vírus. ","病毒治疗. "
STR_ZEN_VIRUS_CURE_INJECTOR_DESC,"A cure for the virus! I should take this if I start to notice strange symptoms like hallucinations.","A cure for the virus! I should take this if I start to notice strange symptoms like hallucinations.","Lék na virus. Měl bych si to vzít, pokud začnu pozorovat zvláštní příznaky, jako jsou halucinace. ","Ein Heilmittel für das Virus. Ich sollte es nehmen, wenn ich anfange, seltsame Symptome wie Halluzinationen zu bemerken. ","Лекарство от вируса. Я должен принять это, если я начну замечать странные симптомы, такие как галлюцинации.. ","Lekarstwo na wirusa. Powinienem to wziąć, jeśli zacznę zauważać dziwne objawy, takie jak halucynacje. ","Gyógyszer a vírusra. Ezt kell bevennem, ha furcsa tüneteket, például hallucinációt észlelek. ","Una cura per il virus. Dovrei prenderlo se comincio a notare strani sintomi come allucinazioni. ","Una cura para el virus. Debería tomar esto si empiezo a notar síntomas extraños como alucinaciones.. ","Un remède contre le virus. Je devrais prendre ça si je commence à remarquer des symptômes étranges comme des hallucinations. ","一種治愈病毒的方法. 如果我開始注意到幻覺等奇怪症狀，我應該服用這個. ","ウイルスの治療法. 幻覚のような奇妙な症状に気づき始めたら、これを服用する必要があります. ","Uma cura para o vírus. Eu deveria tomar isso se eu começar a notar sintomas estranhos como alucinações. ","一种治愈病毒的方法. 如果我开始注意到幻觉等奇怪症状，我应该服用这个. "
STR_ZEN_VIRUS_CURE_INJECTOR_EMPTY,"Empty Virus Cure","Empty Virus Cure","Prázdný lék na viry. ","Leere Virenheilung. ","Пустое лекарство от вирусов. ","Puste lekarstwo na wirusa. ","Üres Víruskúra. ","Svuotare la cura del virus. ","Cura de virus vacía. ","Cure de virus vide. ","空病毒治療. ","空のウイルス治療. ","Cura de vírus vazio. ","空病毒治疗. "
STR_ZEN_VIRUS_CURE_INJECTOR_EMPTY_DESC,"An empty virus cure syringe. Once it's been used it cannot be used again.","An empty virus cure syringe. Once it's been used it cannot be used again.","Prázdná stříkačka proti virům. Jakmile je jednou použit, nelze jej znovu použít. ","Eine leere Spritze zur Virenheilung. Sobald es verwendet wurde, kann es nicht erneut verwendet werden. ","Пустой шприц для лечения вирусов. После того, как он был использован, его нельзя использовать снова. ","Pusta strzykawka do leczenia wirusa. Raz użyty nie może być użyty ponownie. ","Egy üres vírusgyógyító fecskendő. Ha egyszer használta, nem lehet újra használni. ","Una siringa vuota per la cura del virus. Una volta utilizzato non può più essere utilizzato. ","Una jeringa de cura de virus vacía. Una vez usado no se puede volver a usar. ","Une seringue de traitement de virus vide. Une fois qu'il a été utilisé, il ne peut plus être utilisé. ","一個空的病毒治療注射器. 用過一次就不能再用了. ","空のウイルス治療注射器. 一度使用すると、二度と使用できなくなります. ","Uma seringa de cura de vírus vazia. Uma vez usado, não pode ser usado novamente. ","一个空的病毒治疗注射器. 用过一次就不能再用了. "
STR_ZEN_VIRUS_INJECTOR,"Virus Injector","Virus Injector","Virus Injektor. ","Vireninjektor. ","Инжектор вирусов. ","Wstrzykiwacz wirusa. ","Vírusinjektor. ","Iniettore di virus. ","inyector de virus. ","Injecteur de virus. ","病毒注射器. ","ウイルスインジェクター. ","Injetor de vírus. ","病毒注射器. "
STR_ZEN_VIRUS_INJECTOR_DESC,"A syringe which appears to contain some sort of virus. I'd better be careful what I do with this...","A syringe which appears to contain some sort of virus. I'd better be careful what I do with this...","Stříkačka, která vypadá, že obsahuje nějaký druh viru. Raději si dám pozor, co s tím udělám. ","Eine Spritze, die eine Art Virus zu enthalten scheint. Ich sollte besser aufpassen, was ich damit mache. ","Шприц, который, кажется, содержит какой-то вирус. Мне лучше быть осторожным, что я делаю с этим. ","Strzykawka, która wydaje się zawierać jakiś wirus. Lepiej uważaj, co z tym zrobię. ","Egy fecskendő, amely úgy tűnik, valami vírust tartalmaz. Jobb lesz, ha vigyázok, mit csinálok ezzel. ","Una siringa che sembra contenere una specie di virus. Farei meglio a stare attento a cosa faccio con questo. ","Una jeringa que parece contener algún tipo de virus.. Será mejor que tenga cuidado con lo que hago con esto. ","Une seringue qui semble contenir une sorte de virus. Je ferais mieux de faire attention à ce que je fais avec ça. ","似乎含有某種病毒的注射器. 我最好小心我用這個做什麼. ","ある種のウイルスが入っているように見える注射器. 私はこれで何をするかに注意したほうがいいです. ","Uma seringa que parece conter algum tipo de vírus. É melhor eu ter cuidado com o que faço com isso. ","似乎含有某种病毒的注射器. 我最好小心我用这个做什么. "
STR_ZEN_VIRUS_CURE_MICROSCOPE,"Microscope","Microscope","Mikroskop. ","Mikroskop. ","микроскоп. ","Mikroskop. ","Mikroszkóp. ","Microscopio. ","Microscopio. ","Microscope. ","顯微鏡. ","顕微鏡. ","Microscópio. ","显微镜. "
STR_ZEN_VIRUS_CURE_MICROSCOPE_DESC,"A high-powered microscope. Perhaps I can use this to help me engineer a cure for the virus...","A high-powered microscope. Perhaps I can use this to help me engineer a cure for the virus...","Vysoce výkonný mikroskop. Možná bych to mohl použít, aby mi pomohl vytvořit lék na virus. ","Ein leistungsstarkes Mikroskop. Vielleicht kann ich das nutzen, um mir zu helfen, ein Heilmittel für den Virus zu entwickeln. ","Мощный микроскоп. Возможно, я смогу использовать это, чтобы помочь мне разработать лекарство от вируса.. ","Mikroskop o dużej mocy. Być może będę mógł to wykorzystać, aby pomóc mi opracować lekarstwo na wirusa. ","Nagy teljesítményű mikroszkóp. Talán felhasználhatom ezt a vírus gyógymódjának kidolgozásában. ","Un microscopio ad alta potenza. Forse posso usarlo per aiutarmi a progettare una cura per il virus. ","Un microscopio de alta potencia. Tal vez pueda usar esto para ayudarme a diseñar una cura para el virus.. ","Un microscope puissant. Peut-être que je peux l'utiliser pour m'aider à concevoir un remède contre le virus. ","高倍顯微鏡. 也許我可以用它來幫助我設計出治愈病毒的方法. ","高性能顕微鏡. おそらく、これを使用してウイルスの治療法を設計するのに役立てることができます. ","Um microscópio de alta potência. Talvez eu possa usar isso para me ajudar a projetar uma cura para o vírus. ","高倍显微镜. 也许我可以用它来帮助我设计出治愈病毒的方法. "
STR_ZEN_VIRUS_ANTIBODIESVIAL_DESC,"A vial containing infection antibodies. Perhaps I can use this to help me engineer a cure for the virus, all I need is an empty syringe...","A vial containing infection antibodies. Perhaps I can use this to help me engineer a cure for the virus, all I need is an empty syringe...","Lahvička obsahující infekční protilátky. Možná bych to mohl použít, aby mi pomohl vytvořit lék na virus, vše, co potřebuji, je prázdná injekční stříkačka. ","Ein Fläschchen mit Infektionsantikörpern. Vielleicht kann ich damit helfen, ein Heilmittel gegen den Virus zu entwickeln, alles, was ich brauche, ist eine leere Spritze. ","Флакон с инфекционными антителами. Возможно, я смогу использовать это, чтобы помочь мне разработать лекарство от вируса, все, что мне нужно, это пустой шприц.. ","Fiolka zawierająca przeciwciała infekcyjne. Być może mogę to wykorzystać, aby pomóc mi opracować lekarstwo na wirusa, wszystko, czego potrzebuję, to pusta strzykawka. ","Fertőzés elleni antitesteket tartalmazó injekciós üveg. Talán ezzel segíthetek megtervezni egy gyógymódot a vírusra, csak egy üres fecskendőre van szükségem. ","Una fiala contenente anticorpi contro le infezioni. Forse posso usarlo per aiutarmi a progettare una cura per il virus, tutto ciò di cui ho bisogno è una siringa vuota. ","Un vial que contiene anticuerpos contra la infección.. Tal vez pueda usar esto para ayudarme a diseñar una cura para el virus, todo lo que necesito es una jeringa vacía.. ","Un flacon contenant des anticorps anti-infectieux. Peut-être que je peux l'utiliser pour m'aider à concevoir un remède contre le virus, tout ce dont j'ai besoin est une seringue vide. ","裝有感染抗體的小瓶. 也許我可以用它來幫助我設計治愈病毒的方法，我只需要一個空注射器. ","感染抗体を含むバイアル. おそらく、これを使用してウイルスの治療法を設計するのに役立てることができます。必要なのは空の注射器だけです。. ","Um frasco contendo anticorpos de infecção. Talvez eu possa usar isso para me ajudar a criar uma cura para o vírus, tudo o que preciso é de uma seringa vazia. ","装有感染抗体的小瓶. 也许我可以用它来帮助我设计治愈病毒的方法，我只需要一个空注射器. "
